Model,Accuracy,Macro F1,Positive-Class F1,Preparation + Training Time (seconds),Test Inference Time (seconds),Inference per Review (ms)
Logistic Regression,0.8475,0.8474227577711216,0.8508557457212714,2.886396199995943,0.166121900001599,0.41530475000399747
LSTM,0.5275,0.5261940724120857,0.5013192612137203,531.1267681999961,0.7208602000027895,1.8021505000069737
VADER,0.6475,0.6379393355801637,0.6967741935483871,0.0,1.886731400001736,4.71682850000434
